scorer,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100,DLC_resnet50_white_mouseJun8shuffle1_100
bodyparts,green_hand,green_hand,green_hand,orange_hand,orange_hand,orange_hand
coords,x,y,likelihood,x,y,likelihood
16,502.26171875,118.65864562988281,0.3333668112754822,502.73944091796875,154.96473693847656,0.43322962522506714
17,505.4371032714844,138.17388916015625,0.3371860384941101,502.9544677734375,155.3345489501953,0.43475931882858276
18,505.3368225097656,138.19427490234375,0.33431023359298706,503.96502685546875,155.48678588867188,0.4321032166481018
19,505.2027893066406,138.30816650390625,0.3275877833366394,505.2789001464844,155.42869567871094,0.42560601234436035
20,505.2138366699219,138.17576599121094,0.3281461000442505,505.79779052734375,156.14138793945312,0.4181063771247864
21,504.7087097167969,130.47447204589844,0.3223072588443756,505.8016662597656,156.55799865722656,0.3998095989227295
22,504.9779357910156,130.73049926757812,0.32170945405960083,505.2533874511719,156.45025634765625,0.3927988111972809
23,505.0516052246094,138.2863311767578,0.32522961497306824,505.7317810058594,144.49221801757812,0.4074384868144989
24,505.0840148925781,138.58834838867188,0.3345678150653839,505.66510009765625,144.3693389892578,0.4282286763191223
25,504.8351745605469,138.5139617919922,0.331405371427536,505.9902038574219,144.86581420898438,0.44103914499282837
26,505.1822509765625,138.59878540039062,0.3381560444831848,505.6614685058594,144.3761444091797,0.4380207657814026
27,505.29815673828125,138.2407989501953,0.3404516577720642,503.62860107421875,155.44374084472656,0.42667141556739807
28,503.291259765625,119.13339233398438,0.33664652705192566,504.21148681640625,154.65130615234375,0.42726844549179077
29,503.2831726074219,119.14401245117188,0.3436329960823059,504.4103088378906,154.9488525390625,0.4209793508052826
30,502.7100830078125,118.8093490600586,0.358878493309021,504.3968505859375,155.56504821777344,0.393315851688385
31,502.4400634765625,118.68704986572266,0.3663488030433655,504.7997741699219,155.69973754882812,0.4059692323207855
32,502.15887451171875,118.7363052368164,0.3670528531074524,504.6285095214844,155.90435791015625,0.4160762131214142
33,501.8595275878906,118.98670959472656,0.36137688159942627,504.0512390136719,155.9889678955078,0.41300418972969055
